[2026-05-14T03:10:14.886Z] BLOCK redacted | prompt_injection | bash | REDACTED injection: Instruction override | matched: "ignore prior instructions"
[2026-05-14T03:10:14.886Z] BLOCK redacted | prompt_injection | bash | REDACTED injection: System prompt injection | matched: "new system prompt"
[2026-05-14T03:10:23.949Z] BLOCK redacted | prompt_injection | bash | REDACTED injection: Instruction override | matched: "ignore previous instructions"
[2026-05-14T03:10:23.949Z] BLOCK redacted | prompt_injection | bash | REDACTED injection: Instruction override | matched: "ignore prior instructions"
[2026-05-14T03:10:23.949Z] BLOCK redacted | prompt_injection | bash | REDACTED injection: System prompt injection | matched: "new system prompt"
[2026-05-14T03:10:34.393Z] BLOCK redacted | prompt_injection | bash | REDACTED injection: Instruction override | matched: "ignore previous instructions"
[2026-05-14T03:10:34.393Z] BLOCK redacted | prompt_injection | bash | REDACTED injection: Instruction override | matched: "ignore prior instructions"
[2026-05-14T03:10:34.393Z] BLOCK redacted | prompt_injection | bash | REDACTED injection: System prompt injection | matched: "new system prompt"
[2026-05-14T03:10:40.863Z] BLOCK redacted | prompt_injection | bash | REDACTED injection: Instruction override | matched: "ignore previous instructions"
[2026-05-14T03:10:40.863Z] BLOCK redacted | prompt_injection | bash | REDACTED injection: Instruction override | matched: "ignore prior instructions"
[2026-05-14T03:10:40.863Z] BLOCK redacted | prompt_injection | bash | REDACTED injection: System prompt injection | matched: "new system prompt"
[2026-05-14T03:10:48.137Z] BLOCK redacted | prompt_injection | bash | REDACTED injection: Instruction override | matched: "ignore previous instructions"
[2026-05-14T03:10:48.137Z] BLOCK redacted | prompt_injection | bash | REDACTED injection: Instruction override | matched: "ignore prior instructions"
[2026-05-14T03:10:48.137Z] BLOCK redacted | prompt_injection | bash | REDACTED injection: System prompt injection | matched: "new system prompt"
[2026-05-14T03:11:01.195Z] BLOCK redacted | prompt_injection | bash | REDACTED injection: Instruction override | matched: "ignore previous instructions"
[2026-05-14T03:11:01.195Z] BLOCK redacted | prompt_injection | bash | REDACTED injection: Instruction override | matched: "ignore prior instructions"
[2026-05-14T03:11:01.195Z] BLOCK redacted | prompt_injection | bash | REDACTED injection: System prompt injection | matched: "new system prompt"
[2026-05-14T03:11:14.145Z] BLOCK redacted | prompt_injection | bash | REDACTED injection: Instruction override | matched: "ignore previous instructions"
[2026-05-14T03:11:14.145Z] BLOCK redacted | prompt_injection | bash | REDACTED injection: Instruction override | matched: "ignore prior instructions"
[2026-05-14T03:11:14.145Z] BLOCK redacted | prompt_injection | bash | REDACTED injection: System prompt injection | matched: "new system prompt"
[2026-05-14T03:12:05.801Z] BLOCK redacted | prompt_injection | bash | REDACTED injection: Instruction override | matched: "ignore previous instructions"
[2026-05-14T03:12:05.801Z] BLOCK redacted | prompt_injection | bash | REDACTED injection: Instruction override | matched: "ignore prior instructions"
[2026-05-14T03:12:05.801Z] BLOCK redacted | prompt_injection | bash | REDACTED injection: System prompt injection | matched: "new system prompt"
[2026-05-14T03:12:14.318Z] BLOCK redacted | prompt_injection | bash | REDACTED injection: Instruction override | matched: "ignore previous instructions"
[2026-05-14T03:12:14.318Z] BLOCK redacted | prompt_injection | bash | REDACTED injection: Instruction override | matched: "ignore prior instructions"
[2026-05-14T03:12:14.318Z] BLOCK redacted | prompt_injection | bash | REDACTED injection: System prompt injection | matched: "new system prompt"
[2026-05-14T03:12:27.131Z] BLOCK redacted | prompt_injection | bash | REDACTED injection: Instruction override | matched: "ignore previous instructions"
